TF	target	score
ARNT	DEGS1	1
ARNT	ZFHX3	1
ARNT	SNORD42B	1
ARNT	PLD6	1
ARNT	HEXIM2	1
ARNT	FOXO1	1
ARNT	TADA2B	1
ARNT	FZD5	1
ARNT	METTL12	1
ARNT	NPM1	1
ARNT	TOMM6	1
ARNT	NUDT8	1
ARNT	SLC44A4	1
ARNT	CTIF	1
ARNT	RSBN1	1
ARNT	CGREF1	1
ARNT	STK40	1
ARNT	RNF212	1
ARNT	NOL3	1
ARNT	ENO3	1
ARNT	SLC4A7	1
ARNT	TBC1D24	1
ARNT	ZBTB42	1
ARNT	ZNF34	1
ARNT	ETV4	1
ARNT	NR6A1	1
ARNT	VGF	1
ARNT	ELOVL3	1
ARNT	GPR146	1
ARNT	ZBED5	1
ARNT	CHRNB1	1
ARNT	BFSP1	1
ARNT	ADCY3	1
ARNT	PRSS36	1
ARNT	ZBTB45	1
ARNT	CDK2	1
ARNT	ARHGAP26	1
ARNT	ANKRD13B	1
ARNT	LIN37	1
ARNT	STC2	1
ARNT	XXYLT1	1
ARNT	VPS37C	1
ARNT	ALKBH5	1
ARNT	DDR1	1
ARNT	NLGN2	1
ARNT	CATSPERD	1
ARNT	DDI2	1
ARNT	MCM3AP-AS1	1
ARNT	ADPRHL2	1
ARNT	MAFG-AS1	1
ARNT	DVL1	1
ARNT	HIST1H2BB	1
ARNT	XPO5	1
ARNT	CKS1B	1
ARNT	SPTBN4	1
ARNT	EEF1G	1
ARNT	CYP1A1	1
ARNT	SHISA8	1
ARNT	MDC1	1
ARNT	C8orf44-SGK3	1
ARNT	LOXL1	1
ARNT	ZNRF1	1
ARNT	PML	1
ARNT	RARG	1
ARNT	SLC26A10	1
ARNT	CSRP1	1
ARNT	MIR1204	1
ARNT	KIAA0895L	1
ARNT	UBTF	1
ARNT	LZTS2	1
ARNT	PFKFB3	1
ARNT	BHLHE40	1
ARNT	HPS6	1
ARNT	RPL8	1
ARNT	MIR33B	1
ARNT	XYLT2	1
ARNT	DHRS3	1
ARNT	SART1	1
ARNT	EIF4B	1
ARNT	BRF1	1
ARNT	LDHA	1
ARNT	ACY1	1
ARNT	ERF	1
ARNT	FAM173A	1
ARNT	CACNB3	1
ARNT	SEMA5B	1
ARNT	TFAP4	1
ARNT	PLCB3	1
ARNT	PCP2	1
ARNT	LCAT	1
ARNT	ACTG1	1
ARNT	KIAA1217	1
ARNT	CBX7	1
ARNT	CNBP	1
ARNT	CORO6	1
ARNT	HIF1A	1
ARNT	TTC39A	1
ARNT	NR1D1	1
ARNT	CITED2	1
ARNT	VPS8	1
ARNT	CINP	1
ARNT	PPP1R3C	1
ARNT	WNT5A	1
ARNT	EML2	1
ARNT	DHX16	1
ARNT	PTPRF	1
ARNT	MIR330	1
ARNT	FGF8	1
ARNT	CHRNE	1
ARNT	MIR27A	1
ARNT	TC2N	1
ARNT	TTC21A	1
ARNT	ZBTB7B	1
ARNT	WDR24	1
ARNT	EML3	1
ARNT	ZNRF2	1
ARNT	CFL1	1
ARNT	TPM4	1
ARNT	SPNS1	1
ARNT	ZNF516	1
ARNT	WFIKKN2	1
ARNT	FBXL19	1
ARNT	SOCS3	1
ARNT	H2AFJ	1
ARNT	DCP1B	1
ARNT	FAHD1	1
ARNT	GLTSCR2	1
ARNT	LRRC26	1
ARNT	FCHO2	1
ARNT	NSD1	1
ARNT	NES	1
ARNT	TOM1L2	1
ARNT	MIR4647	1
ARNT	AZIN1	1
ARNT	DTNB	1
ARNT	VEGFB	1
ARNT	HIST1H3A	1
ARNT	TMEM91	1
ARNT	TMCC1	1
ARNT	UNC5B	1
ARNT	GSR	1
ARNT	MLX	1
ARNT	NCOR2	1
ARNT	DUSP10	1
ARNT	TSC22D4	1
ARNT	ALDOA	1
ARNT	TPP1	1
ARNT	NCKAP5L	1
ARNT	TSSK3	1
ARNT	HDAC7	1
ARNT	MGLL	1
ARNT	EEFSEC	1
ARNT	MED31	1
ARNT	STX16-NPEPL1	1
ARNT	PPP1R1B	1
ARNT	EPO	1
ARNT	CTBP2	1
ARNT	SLC25A37	1
ARNT	ESRRA	1
ARNT	GTPBP1	1
ARNT	RPL23A	1
ARNT	KHDRBS1	1
ARNT	CROCC	1
ARNT	TUSC2	1
ARNT	SEMA4G	1
ARNT	PLXND1	1
ARNT	CIB1	1
ARNT	CD164	1
ARNT	SORD	1
ARNT	ZNF783	1
ARNT	HIF1A-AS2	1
ARNT	MECP2	1
ARNT	UBN1	1
ARNT	CCBL1	1
ARNT	LFNG	1
ARNT	ESRP2	1
ARNT	DENND5A	1
ARNT	OPA3	1
ARNT	ARRB1	1
ARNT	PIAS1	1
ARNT	MRPL45P2	1
ARNT	STARD13	1
ARNT	RPS18	1
ARNT	PAICS	1
ARNT	DNAJC4	1
ARNT	CTRL	1
ARNT	CHD4	1
ARNT	SYT8	1
ARNT	DDAH1	1
ARNT	MAFK	1
ARNT	IL1RAP	1
ARNT	TJP1	1
ARNT	FXYD7	1
ARNT	KAZALD1	1
ARNT	MUC1	1
ARNT	KIFC2	1
ARNT	NACC1	1
ARNT	ATF3	1
ARNT	SIX5	1
ARNT	TXNDC17	1
ARNT	AHCYL1	1
ARNT	RAP2B	1
ARNT	KAT6B	1
ARNT	DMPK	1
ARNT	B4GALT2	1
ARNT	ZHX2	1
ARNT	ABCB6	1
ARNT	RPS28	1
ARNT	UBR5	1
ARNT	FAM129B	1
ARNT	RTN4RL1	1
ARNT	PDK2	1
ARNT	LDB1	1
ARNT	USP3	1
ARNT	SYNGR3	1
ARNT	LONP1	1
ARNT	GFOD1	1
ARNT	CCDC107	1
ARNT	RARA	1
ARNT	LRP5	1
ARNT	RAD51B	1
ARNT	HEY1	1
ARNT	ZDHHC5	1
ARNT	TRAPPC6A	1
ARNT	IPMK	1
ARNT	NEK6	1
ARNT	NEUROD2	1
ARNT	GTPBP3	1
ARNT	CMIP	1
ARNT	PCBP1-AS1	1
ARNT	CAMKK1	1
ARNT	XAB2	1
ARNT	ARSG	1
ARNT	CDCA7L	1
ARNT	MXI1	1
ARNT	PRDM16	1
ARNT	BZW1	1
ARNT	PADI2	1
ARNT	SOCS1	1
ARNT	ZNF358	1
ARNT	ZNF532	1
ARNT	MLLT6	1
ARNT	PRDM11	1
ARNT	CRY2	1
ARNT	KIAA1522	1
ARNT	PPP3CA	1
ARNT	ARID3A	1
ARNT	CHAD	1
ARNT	RILPL1	1
ARNT	NIT1	1
ARNT	SMCR8	1
ARNT	WDR81	1
ARNT	BHLHE41	1
ARNT	FOS	1
ARNT	MGAT4A	1
ARNT	TMEM59L	1
ARNT	TRIM8	1
ARNT	YDJC	1
ARNT	ZBTB20	1
ARNT	ZCCHC14	1
ARNT	PER1	1
ARNT	GAPDH	1
ARNT	SYNE2	1
ARNT	DNAJC16	1
ARNT	CDK5	1
ARNT	MATR3	1
ARNT	VKORC1	1
ARNT	SOGA1	1
ARNT	LMNA	1
ARNT	SNORA51	1
ARNT	SNORA57	1
ARNT	WNK2	1
ARNT	ANGPTL6	1
ARNT	FKBP5	1
ARNT	EXOSC5	1
ARNT	ARAP1	1
ARNT	RPRD2	1
ARNT	CCDC78	1
ARNT	EHMT2	1
ARNT	PTPRCAP	1
ARNT	PTP4A3	1
ARNT	RNF103-CHMP3	1
ARNT	FUT11	1
ARNT	AGAP1	1
ARNT	UBE2M	1
ARNT	JMJD8	1
ARNT	MRPL43	1
ARNT	GRK5	1
ARNT	STUB1	1
ARNT	RBL1	1
ARNT	PPP1R18	1
ARNT	MKL1	1
ARNT	HIST1H2BC	1
ARNT	CRIM1	1
ARNT	TLCD1	1
ARNT	FAM222B	1
ARNT	PPRC1	1
ARNT	KLF4	1
ARNT	BCL7C	1
ARNT	MNT	1
ARNT	RCOR2	1
ARNT	CUX1	1
ARNT	SMCR5	1
ARNT	TACC3	1
ARNT	TMEM109	1
ARNT	KIAA0196	1
ARNT	PIAS2	1
ARNT	RALGPS1	1
ARNT	HNRNPUL1	1
ARNT	OSBPL10	1
ARNT	TOP3A	1
ARNT	RAPGEF3	1
ARNT	SIPA1	1
ARNT	SLMO1	1
ARNT	GPRC5B	1
ARNT	WDR92	1
ARNT	RAB3A	1
ARNT	RREB1	1
ARNT	RBBP6	1
ARNT	HIST1H4A	1
ARNT	AMD1	1
ARNT	PANK3	1
ARNT	ZFX-AS1	1
ARNT	SP1	1
ARNT	PGRMC2	1
ARNT	RHBDL1	1
ARNT	PA2G4P4	1
ARNT	FAM83D	1
ARNT	TRADD	1
ARNT	LTBP4	1
ARNT	EPB41L4B	1
ARNT	LRRC42	1
ARNT	HSDL1	1
ARNT	EPB41	1
ARNT	HES1	1
ARNT	WSB1	1
ARNT	C1GALT1	1
ARNT	JUN	1
ARNT	HIBADH	1
ARNT	KDM4B	1
ARNT	ZMYND19	1
ARNT	GMIP	1
ARNT	MRPL27	1
ARNT	SRCIN1	1
ARNT	PCGF5	1
ARNT	CENPO	1
ARNT	SLC25A22	1
ARNT	ISG15	1
ARNT	EXOC3L1	1
ARNT	AGAP3	1
ARNT	ARHGAP27	1
ARNT	MAFF	1
ARNT	CD3EAP	1
ARNT	PCBP1	1
ARNT	UBE2I	1
ARNT	TRAPPC1	1
ARNT	RAP1A	1
ARNT	KCNQ1DN	1
ARNT	CNTFR	1
ARNT	FLJ37453	1
ARNT	TAPBP	1
ARNT	ZNF608	1
ARNT	HSPB11	1
ARNT	REPIN1	1
ARNT	CACNA1I	1
ARNTL	PER1	1
ARNTL	CRY1	1
ARNTL	NR1D1	1
ARNTL	CRY2	1
ARNTL	BHLHE41	1
ARNTL	PER2	1
ARNTL	HIF1A	1
ASCL1	TCF4	1
ASCL1	PCSK6	1
ATF1	DNTTIP1	1
ATF1	EGR1	1
ATF1	ATM	1
ATF1	TSPAN31	1
ATF1	FOXD3	1
ATF1	CDS2	1
ATF1	LRRC8A	1
ATF1	SAMD4B	1
ATF1	RING1	1
ATF1	DDX19B	1
ATF1	CDKL3	1
ATF1	FKBP2	1
ATF1	NEK1	1
ATF1	C6orf106	1
ATF1	DDX28	1
ATF1	IDH3G	1
ATF1	MIR212	1
ATF1	MXD1	1
ATF1	MORF4L2	1
ATF1	MLF2	1
ATF1	CREM	1
ATF1	FOS	1
ATF1	C11orf30	1
ATF1	LARP7	1
ATF1	YIF1B	1
ATF1	ZNF367	1
ATF1	ZCWPW1	1
ATF1	FOSB	1
ATF1	RNF44	1
ATF1	TRAK1	1
ATF1	SPI1	1
ATF1	CENPE	1
ATF1	CSNK1G2	1
ATF1	RCE1	1
ATF1	CYHR1	1
ATF1	PER1	1
ATF1	DNAJB2	1
ATF1	EMC3	1
ATF1	CDC14B	1
ATF1	MAP2K1	1
ATF1	C2orf43	1
ATF1	CREBBP	1
ATF1	IFT140	1
ATF1	MIR4733	1
ATF1	SNX16	1
ATF1	CCND2	1
ATF1	IPO11	1
ATF1	RPS27	1
ATF1	MIR378D2	1
ATF1	ANKRD11	1
ATF1	CHPF	1
ATF1	MAP1LC3B	1
ATF1	ARF4	1
ATF1	DUSP1	1
ATF1	FILIP1L	1
ATF1	TMEM147	1
ATF1	KAT7	1
ATF1	LIG3	1
ATF1	GOLPH3	1
ATF1	SLC25A3	1
ATF1	S1PR2	1
ATF1	OXSR1	1
ATF1	DNAJC27	1
ATF1	GPBP1	1
ATF1	ZZEF1	1
ATF1	UBN2	1
ATF1	MYNN	1
ATF1	GUK1	1
ATF1	C19orf26	1
ATF1	NR4A3	1
ATF1	PINX1	1
ATF1	NDUFA10	1
ATF1	INHBE	1
ATF1	FRS3	1
ATF1	MIR4738	1
ATF1	KAT5	1
ATF1	VAMP3	1
ATF1	MAP1LC3A	1
ATF1	BRCA1	1
ATF1	ITFG2	1
ATF1	COX8A	1
ATF1	CNTROB	1
ATF1	MIR4444-1	1
ATF1	SRP54	1
ATF1	JUND	1
ATF1	FBXO42	1
ATF1	ZNF593	1
ATF1	MAP3K13	1
ATF1	YME1L1	1
ATF1	NR4A2	1
ATF1	HCFC1	1
ATF1	WFDC3	1
ATF1	JAK1	1
ATF1	ANAPC2	1
ATF1	TLE3	1
ATF1	MRRF	1
ATF1	CYSTM1	1
ATF1	TAF2	1
ATF1	SWI5	1
ATF1	TRMT2A	1
ATF1	RIC8B	1
ATF1	ETV2	1
ATF1	PPP1R12C	1
ATF1	CLASP2	1
ATF1	CCDC47	1
ATF1	SIDT2	1
ATF1	UBQLN1	1
ATF1	SSBP3	1
ATF1	PPARD	1
ATF1	PPIG	1
ATF1	HNRNPA3	1
ATF1	TMTC4	1
ATF1	SCG3	1
ATF1	GPR153	1
ATF1	STAT3	1
ATF1	C12orf66	1
ATF1	SH2D2A	1
ATF1	HNRNPA2B1	1
ATF1	RAD51C	1
ATF1	PAK1	1
ATF1	ARIH1	1
ATF1	FOXP2	1
ATF1	MCAM	1
ATF1	METTL4	1
ATF1	SREBF1	1
ATF1	RB1	1
ATF1	SRPR	1
ATF1	RPRD1A	1
ATF1	MPZL3	1
ATF1	RPS18	1
ATF1	POLB	1
ATF1	OTUB2	1
ATF1	SIK3	1
ATF1	WDR26	1
ATF1	BRD2	1
ATF1	PPP2R4	1
ATF1	SND1	1
ATF1	MIR497HG	1
ATF1	ZNF184	1
ATF1	SKIL	1
ATF1	IZUMO1	1
ATF1	EDF1	1
ATF1	NTRK1	1
ATF1	KLHL12	1
ATF1	DDX17	1
ATF1	NEDD1	1
ATF1	SECISBP2	1
ATF1	PARD6A	1
ATF1	MIR132	1
ATF1	FOSL1	1
ATF1	ISCU	1
ATF1	PPP2R5B	1
ATF1	IFT57	1
ATF1	JOSD1	1
ATF1	RNF7	1
ATF1	TMEM175	1
ATF1	UNK	1
ATF1	RUNDC3A	1
ATF1	BCL2L13	1
ATF1	RAB7A	1
ATF1	PMEL	1
ATF1	SPACA5	1
ATF1	JUN	1
ATF1	RFT1	1
ATF1	PPM1K	1
ATF1	TMEM86A	1
ATF1	VWA7	1
ATF1	TRAPPC10	1
ATF1	EIF3A	1
ATF1	ANKRD13C	1
ATF1	TRAP1	1
ATF1	PRR14	1
ATF1	TEAD1	1
ATF1	MON2	1
ATF1	LDHA	1
ATF1	ATP5G1	1
ATF1	TUBGCP2	1
ATF1	TTLL5	1
ATF1	ERF	1
ATF1	CLASP1	1
ATF1	HIVEP2	1
ATF1	ANKS1A	1
ATF1	FAM131A	1
ATF1	CLTB	1
ATF1	EHD1	1
ATF1	MAFF	1
ATF1	IBA57	1
ATF1	ELOVL5	1
ATF1	C4orf33	1
ATF1	USP2	1
ATF1	PACRGL	1
ATF1	UBE2I	1
ATF1	SULT4A1	1
ATF1	CEP57	1
ATF1	TM9SF4	1
ATF1	ZNF576	1
ATF1	UBA52	1
ATF1	CHMP4B	1
ATF1	CIDECP	1
ATF1	INTS7	1
ATF1	SYN1	1
ATF1	GCC1	1
ATF1	SNAP25	1
ATF1	KIAA0556	1
