miRNA	target	score
hsa-let-7b-3p	ARID1B	1
hsa-let-7b-3p	RORA	1
hsa-let-7b-3p	TOR1AIP2	1
hsa-let-7b-3p	MYADM	1
hsa-let-7b-3p	HMGB2	1
hsa-let-7b-3p	LCOR	1
hsa-let-7b-3p	RPS16	1
hsa-let-7b-3p	SIPA1L2	1
hsa-let-7b-3p	BTG1	1
hsa-let-7b-3p	MSMO1	1
hsa-let-7b-3p	HBP1	1
hsa-let-7b-3p	DLX2	1
hsa-let-7b-3p	LNPK	1
hsa-let-7b-3p	PAPOLG	1
hsa-let-7b-3p	HAT1	1
hsa-let-7b-3p	SEC24A	1
hsa-let-7b-3p	BRPF3	1
hsa-let-7b-3p	GSK3B	1
hsa-let-7b-3p	DUSP6	1
hsa-let-7b-3p	CSTF2	1
hsa-let-7b-3p	WNK1	1
hsa-let-7b-3p	GABRG1	1
hsa-let-7b-3p	ANAPC16	1
hsa-let-7b-3p	VEZF1	1
hsa-let-7b-3p	SHOC2	1
hsa-let-7b-3p	ZNF181	1
hsa-let-7b-3p	ACVR2B	1
hsa-let-7b-3p	KLF10	1
hsa-let-7b-3p	ZNF800	1
hsa-let-7b-3p	E2F8	1
hsa-let-7b-3p	RNF11	1
hsa-let-7b-3p	KLHL15	1
hsa-let-7b-3p	NRBF2	1
hsa-let-7b-3p	AASDHPPT	1
hsa-let-7b-3p	PURA	1
hsa-let-7b-3p	CREBZF	1
hsa-let-7b-3p	DSG2	1
hsa-let-7b-3p	IGF1R	1
hsa-let-7b-3p	RBM12B	1
hsa-let-7b-3p	ARAP2	1
hsa-let-7b-3p	CREBRF	1
hsa-let-7b-3p	CREB1	1
hsa-let-7b-3p	ZNF585A	1
hsa-let-7b-3p	ASB11	1
hsa-let-7b-3p	EIF4A2	1
hsa-let-7b-3p	MBNL1	1
hsa-let-7b-3p	SYF2	1
hsa-let-7b-3p	IRF2BP2	1
hsa-let-7b-3p	PPP1R10	1
hsa-let-7b-3p	USF3	1
hsa-let-7b-3p	ALG10B	1
hsa-let-7b-3p	MDM2	1
hsa-let-7b-3p	CNKSR2	1
hsa-let-7b-5p	YOD1	1
hsa-let-7b-5p	C19orf47	1
hsa-let-7b-5p	GATM	1
hsa-let-7b-5p	CUX1	1
hsa-let-7b-5p	DNA2	1
hsa-let-7b-5p	XRN1	1
hsa-let-7b-5p	TXLNG	1
hsa-let-7b-5p	TGFBR3	1
hsa-let-7b-5p	MIB1	1
hsa-let-7b-5p	NR6A1	1
hsa-let-7b-5p	ACER2	1
hsa-let-7b-5p	SNAP23	1
hsa-let-7b-5p	CLDN12	1
hsa-let-7b-5p	STRN	1
hsa-let-7b-5p	TRABD	1
hsa-let-7b-5p	MED28	1
hsa-let-7b-5p	CHD4	1
hsa-let-7b-5p	TMEM65	1
hsa-let-7b-5p	GTF2I	1
hsa-let-7b-5p	WARS2	1
hsa-let-7b-5p	NAA30	1
hsa-let-7b-5p	POLR3D	1
hsa-let-7b-5p	TMED5	1
hsa-let-7b-5p	E2F5	1
hsa-let-7b-5p	COL3A1	1
hsa-let-7b-5p	POLL	1
